ObjectName	RA	Dec gmag
NSA79874	231.655693	6.994911	17.97
NSA15235	220.052925194	2.795422498	16.66
NSA18913	233.606621477	4.135174994	18.29
NSA166155	230.770725217	11.764887511	17.02
GH14	218.710948991	3.645162373	15.62
J1440-0235	220.219181259	-2.585076260	16.28
J1324+0446	201.117672304	4.774897837	16.09
###################################################
NSA67333	186.69977	7.67155	15.50
NSA49121	187.72858	10.8227	17.58
NSA141727	189.25945	6.92527	15.48
NSA30939	189.60913	6.04994	17.96
NSA78674	210.453412336	9.223187044	16.59
NSA71383	218.11078	 10.68374	16.83
