,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
0,test,N708,248,1,Engineering run test,object,G09,LeathaudGreene,Merian,128.4276470971771,2020B-0288,4.186885893966064,600.0,1
1,test,N708,248,2,Engineering run test,object,G09,LeathaudGreene,Merian,128.72379380163758,2020B-0288,4.130798772235059,600.0,1
2,test,N708,248,3,Engineering run test,object,G09,LeathaudGreene,Merian,129.02068092316316,2020B-0288,4.094986251093281,600.0,1
3,test,N708,248,4,Engineering run test,object,G09,LeathaudGreene,Merian,129.31751581152034,2020B-0288,4.058791896385249,600.0,1
4,test,N708,248,5,Engineering run test,object,G09,LeathaudGreene,Merian,130.25292399974614,2020B-0288,-2.2803461529524838,600.0,1
5,test,N708,248,6,Engineering run test,object,G09,LeathaudGreene,Merian,130.54215614520322,2020B-0288,-2.338370136329605,600.0,1
6,test,N708,248,7,Engineering run test,object,G09,LeathaudGreene,Merian,130.83509348037995,2020B-0288,-2.3752852509794162,600.0,1
7,test,N708,248,8,Engineering run test,object,G09,LeathaudGreene,Merian,131.1280185023578,2020B-0288,-2.4125686474385324,600.0,1
8,test,N708,248,9,Engineering run test,object,G09,LeathaudGreene,Merian,129.4957166881937,2020B-0288,-0.6360589918580801,600.0,1
9,test,N708,248,10,Engineering run test,object,G09,LeathaudGreene,Merian,129.78666364273218,2020B-0288,-0.6932858747487788,600.0,1
10,test,N708,248,11,Engineering run test,object,G09,LeathaudGreene,Merian,130.0805778549537,2020B-0288,-0.7297471252079492,600.0,1
11,test,N708,248,12,Engineering run test,object,G09,LeathaudGreene,Merian,130.37446941189802,2020B-0288,-0.7665819202431109,600.0,1
12,test,N708,248,13,Engineering run test,object,G09,LeathaudGreene,Merian,128.71601340089404,2020B-0288,1.0096522351102697,600.0,1
13,test,N708,248,14,Engineering run test,object,G09,LeathaudGreene,Merian,129.00871943824896,2020B-0288,0.953256557068096,600.0,1
14,test,N708,248,15,Engineering run test,object,G09,LeathaudGreene,Merian,129.30363862784114,2020B-0288,0.9172692742881015,600.0,1
15,test,N708,248,16,Engineering run test,object,G09,LeathaudGreene,Merian,129.59852504489461,2020B-0288,0.8809030787677651,600.0,1
16,test,N708,248,17,Engineering run test,object,G09,LeathaudGreene,Merian,131.07667726616478,2020B-0288,-0.657106361921821,600.0,1
17,test,N708,248,18,Engineering run test,object,G09,LeathaudGreene,Merian,131.36762021609474,2020B-0288,-0.7159878563342104,600.0,1
18,test,N708,248,19,Engineering run test,object,G09,LeathaudGreene,Merian,131.66153346695046,2020B-0288,-0.7533921404185677,600.0,1
19,test,N708,248,20,Engineering run test,object,G09,LeathaudGreene,Merian,131.95542444883185,2020B-0288,-0.7911600770690053,600.0,1
20,test,N708,248,21,Engineering run test,object,G09,LeathaudGreene,Merian,130.29645324127887,2020B-0288,0.9873640484137997,600.0,1
21,test,N708,248,22,Engineering run test,object,G09,LeathaudGreene,Merian,130.58910802524514,2020B-0288,0.929292706132253,600.0,1
