,comment,filter,seqtot,seqnum,expType,object,proposer,program,RA,propid,dec,expTime
0,--,N708,168,1,science,G09,LeathaudGreene,Merian,129.49892920115045,2020B-XXXX,-0.31803670665894046,600.0
1,--,N708,168,2,science,G09,LeathaudGreene,Merian,129.79023987644408,2020B-XXXX,-0.3733072579633832,600.0
2,--,N708,168,3,science,G09,LeathaudGreene,Merian,130.08437566152026,2020B-XXXX,-0.4078011002664629,600.0
3,--,N708,168,4,science,G09,LeathaudGreene,Merian,130.3784891616577,2020B-XXXX,-0.4426771149026338,600.0
4,--,N708,168,5,science,G09,LeathaudGreene,Merian,131.07991934927114,2020B-XXXX,-0.3285602897820559,600.0
5,--,N708,168,6,science,G09,LeathaudGreene,Merian,131.37122729143724,2020B-XXXX,-0.3855309401805672,600.0
6,--,N708,168,7,science,G09,LeathaudGreene,Merian,131.6653618073604,2020B-XXXX,-0.4210140156553876,600.0
7,--,N708,168,8,science,G09,LeathaudGreene,Merian,131.95947417705483,2020B-XXXX,-0.45686964083678455,600.0
8,--,N708,168,9,science,G09,LeathaudGreene,Merian,130.2888038712163,2020B-XXXX,1.310711069144106,600.0
9,--,N708,168,10,science,G09,LeathaudGreene,Merian,130.58187046423217,2020B-XXXX,1.2545848488898566,600.0
10,--,N708,168,11,science,G09,LeathaudGreene,Merian,130.87702807756867,2020B-XXXX,1.2195920284698751,600.0
11,--,N708,168,12,science,G09,LeathaudGreene,Merian,131.17215349822004,2020B-XXXX,1.1842211907041402,600.0
12,--,N708,168,13,science,G09,LeathaudGreene,Merian,129.40886678856046,2020B-XXXX,2.9326440998131313,600.0
13,--,N708,168,14,science,G09,LeathaudGreene,Merian,129.70372384721549,2020B-XXXX,2.8774697420936115,600.0
14,--,N708,168,15,science,G09,LeathaudGreene,Merian,129.99992502301123,2020B-XXXX,2.843030142468112,600.0
15,--,N708,168,16,science,G09,LeathaudGreene,Merian,130.29608432813959,2020B-XXXX,2.8082065655257686,600.0
16,--,N708,168,17,science,G09,LeathaudGreene,Merian,132.66391277849465,2020B-XXXX,-0.3388529792416552,600.0
17,--,N708,168,18,science,G09,LeathaudGreene,Merian,132.9552191794958,2020B-XXXX,-0.3974834597560491,600.0
18,--,N708,168,19,science,G09,LeathaudGreene,Merian,133.24935323451248,2020B-XXXX,-0.4339305560371432,600.0
19,--,N708,168,20,science,G09,LeathaudGreene,Merian,133.54346534989662,2020B-XXXX,-0.47074027720741946,600.0
20,--,N708,168,21,science,G09,LeathaudGreene,Merian,131.87152373605028,2020B-XXXX,1.2982984959289496,600.0
21,--,N708,168,22,science,G09,LeathaudGreene,Merian,132.16454119923992,2020B-XXXX,1.2404919229511246,600.0
22,--,N708,168,23,science,G09,LeathaudGreene,Merian,132.45966876841769,2020B-XXXX,1.2045222964204714,600.0
23,--,N708,168,24,science,G09,LeathaudGreene,Merian,132.75476403732682,2020B-XXXX,1.1681844636470804,600.0
24,--,N708,168,25,science,G09,LeathaudGreene,Merian,131.01137038741024,2020B-XXXX,2.925961488887434,600.0
25,--,N708,168,26,science,G09,LeathaudGreene,Merian,131.30613986793372,2020B-XXXX,2.8690618218289767,600.0
26,--,N708,168,27,science,G09,LeathaudGreene,Merian,131.6022866975441,2020B-XXXX,2.833618322104946,600.0
27,--,N708,168,28,science,G09,LeathaudGreene,Merian,131.89839117003464,2020B-XXXX,2.7978006522542715,600.0
28,--,N708,168,29,science,G09,LeathaudGreene,Merian,134.25190952673444,2020B-XXXX,-0.34891171014652733,600.0
29,--,N708,168,30,science,G09,LeathaudGreene,Merian,134.54321559023927,2020B-XXXX,-0.40916123715564934,600.0
30,--,N708,168,31,science,G09,LeathaudGreene,Merian,134.83734999910416,2020B-XXXX,-0.44654683078306656,600.0
31,--,N708,168,32,science,G09,LeathaudGreene,Merian,135.1314627427658,2020B-XXXX,-0.4842848217105723,600.0
32,--,N708,168,33,science,G09,LeathaudGreene,Merian,133.45723894242846,2020B-XXXX,1.2861216014150099,600.0
33,--,N708,168,34,science,G09,LeathaudGreene,Merian,133.75020719299954,2020B-XXXX,1.2266757278245843,600.0
34,--,N708,168,35,science,G09,LeathaudGreene,Merian,134.04530478676557,2020B-XXXX,1.1897549682027777,600.0
35,--,N708,168,36,science,G09,LeathaudGreene,Merian,134.34037004849816,2020B-XXXX,1.1524761125749956,600.0
