,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
0,--,N70,512,1,S2021A,object,GAMA,LeathaudGreene,Merian,200.9079091770383,2020B-0288,-0.9341673003826922,600.0,1
1,--,N70,512,2,S2021A,object,GAMA,LeathaudGreene,Merian,201.20015278319732,2020B-0288,-1.010001067210249,600.0,1
2,--,N70,512,3,S2021A,object,GAMA,LeathaudGreene,Merian,201.49492124735573,2020B-0288,-1.0544975059361692,600.0,1
3,--,N70,512,4,S2021A,object,GAMA,LeathaudGreene,Merian,201.7897116293938,2020B-0288,-1.0987776935310116,600.0,1
4,--,N70,512,5,S2021A,object,GAMA,LeathaudGreene,Merian,224.1593616564084,2020B-0288,-0.7174402622984496,600.0,1
5,--,N70,512,6,S2021A,object,GAMA,LeathaudGreene,Merian,224.4518198882374,2020B-0288,-0.7733476240518543,600.0,1
6,--,N70,512,7,S2021A,object,GAMA,LeathaudGreene,Merian,224.74670425800238,2020B-0288,-0.804951001862771,600.0,1
7,--,N70,512,8,S2021A,object,GAMA,LeathaudGreene,Merian,225.0416099490183,2020B-0288,-0.8361711082608198,600.0,1
8,--,N70,512,9,S2021A,object,GAMA,LeathaudGreene,Merian,222.56234772929633,2020B-0288,-0.736575957983442,600.0,1
9,--,N70,512,10,S2021A,object,GAMA,LeathaudGreene,Merian,222.85480645020414,2020B-0288,-0.7941889153016704,600.0,1
10,--,N70,512,11,S2021A,object,GAMA,LeathaudGreene,Merian,223.1496927608464,2020B-0288,-0.8268714340004539,600.0,1
11,--,N70,512,12,S2021A,object,GAMA,LeathaudGreene,Merian,223.4446009159531,2020B-0288,-0.8591804186813508,600.0,1
12,--,N70,512,13,S2021A,object,GAMA,LeathaudGreene,Merian,220.9593201659843,2020B-0288,-0.7552081406383655,600.0,1
13,--,N70,512,14,S2021A,object,GAMA,LeathaudGreene,Merian,221.25177700726866,2020B-0288,-0.814488105145814,600.0,1
14,--,N70,512,15,S2021A,object,GAMA,LeathaudGreene,Merian,221.54666374667494,2020B-0288,-0.8482282959289049,600.0,1
15,--,N70,512,16,S2021A,object,GAMA,LeathaudGreene,Merian,221.84157278748478,2020B-0288,-0.8816050196827646,600.0,1
16,--,N70,512,17,S2021A,object,GAMA,LeathaudGreene,Merian,219.3492788704671,2020B-0288,-0.7733267327496112,600.0,1
17,--,N70,512,18,S2021A,object,GAMA,LeathaudGreene,Merian,219.6417314392292,2020B-0288,-0.8342342925631145,600.0,1
18,--,N70,512,19,S2021A,object,GAMA,LeathaudGreene,Merian,219.9366170756427,2020B-0288,-0.8690102009992243,600.0,1
19,--,N70,512,20,S2021A,object,GAMA,LeathaudGreene,Merian,220.23152540213135,2020B-0288,-0.9034330408419875,600.0,1
20,--,N70,512,21,S2021A,object,GAMA,LeathaudGreene,Merian,217.73022371949276,2020B-0288,-0.7909309137015527,600.0,1
21,--,N70,512,22,S2021A,object,GAMA,LeathaudGreene,Merian,218.02266959544954,2020B-0288,-0.853426683143451,600.0,1
22,--,N70,512,23,S2021A,object,GAMA,LeathaudGreene,Merian,218.31755257630016,2020B-0288,-0.8892164183621415,600.0,1
23,--,N70,512,24,S2021A,object,GAMA,LeathaudGreene,Merian,218.61245856581797,2020B-0288,-0.9246638237271604,600.0,1
24,--,N70,512,25,S2021A,object,GAMA,LeathaudGreene,Merian,216.1031547092956,2020B-0288,-0.807985925993999,600.0,1
25,--,N70,512,26,S2021A,object,GAMA,LeathaudGreene,Merian,216.39559145993678,2020B-0288,-0.8720274940841285,600.0,1
26,--,N70,512,27,S2021A,object,GAMA,LeathaudGreene,Merian,216.69047021838117,2020B-0288,-0.9088072856119916,600.0,1
27,--,N70,512,28,S2021A,object,GAMA,LeathaudGreene,Merian,216.9853722316366,2020B-0288,-0.9452558154329618,600.0,1
28,--,N70,512,29,S2021A,object,GAMA,LeathaudGreene,Merian,214.46507169880059,2020B-0288,-0.8244981343288894,600.0,1
29,--,N70,512,30,S2021A,object,GAMA,LeathaudGreene,Merian,214.75749686233354,2020B-0288,-0.8900437958222347,600.0,1
30,--,N70,512,31,S2021A,object,GAMA,LeathaudGreene,Merian,215.0523698101736,2020B-0288,-0.9277903850665209,600.0,1
31,--,N70,512,32,S2021A,object,GAMA,LeathaudGreene,Merian,215.34726618486465,2020B-0288,-0.965217126308212,600.0,1
32,--,N70,512,33,S2021A,object,GAMA,LeathaudGreene,Merian,212.81697475133225,2020B-0288,-0.8404311412134572,600.0,1
33,--,N70,512,34,S2021A,object,GAMA,LeathaudGreene,Merian,213.10938586491352,2020B-0288,-0.907436024500391,600.0,1
34,--,N70,512,35,S2021A,object,GAMA,LeathaudGreene,Merian,213.40425140654364,2020B-0288,-0.9461241864713089,600.0,1
35,--,N70,512,36,S2021A,object,GAMA,LeathaudGreene,Merian,213.69914047082065,2020B-0288,-0.9845042484429605,600.0,1
36,--,N70,512,37,S2021A,object,GAMA,LeathaudGreene,Merian,211.1568638037704,2020B-0288,-0.8557772835558601,600.0,1
37,--,N70,512,38,S2021A,object,GAMA,LeathaudGreene,Merian,211.44925838642212,2020B-0288,-0.924195979171048,600.0,1
38,--,N70,512,39,S2021A,object,GAMA,LeathaudGreene,Merian,211.74411491065635,2020B-0288,-0.9638002171475297,600.0,1
39,--,N70,512,40,S2021A,object,GAMA,LeathaudGreene,Merian,212.0389949753259,2020B-0288,-1.0031084470623017,600.0,1
40,--,N70,512,41,S2021A,object,GAMA,LeathaudGreene,Merian,209.4837388647338,2020B-0288,-0.8705168266688436,600.0,1
41,--,N70,512,42,S2021A,object,GAMA,LeathaudGreene,Merian,209.77611442771317,2020B-0288,-0.9403023034292054,600.0,1
42,--,N70,512,43,S2021A,object,GAMA,LeathaudGreene,Merian,210.07096031323186,2020B-0288,-0.9807961595222489,600.0,1
43,--,N70,512,44,S2021A,object,GAMA,LeathaudGreene,Merian,210.3658296771267,2020B-0288,-1.0210064461797927,600.0,1
44,--,N70,512,45,S2021A,object,GAMA,LeathaudGreene,Merian,206.9402654278993,2020B-0288,0.6585505331495699,600.0,1
45,--,N70,512,46,S2021A,object,GAMA,LeathaudGreene,Merian,207.23145377520711,2020B-0288,0.5868012124263673,600.0,1
46,--,N70,512,47,S2021A,object,GAMA,LeathaudGreene,Merian,207.5255216704686,2020B-0288,0.5450205977842162,600.0,1
47,--,N70,512,48,S2021A,object,GAMA,LeathaudGreene,Merian,207.8196008354701,2020B-0288,0.5035037909796439,600.0,1
48,--,N70,512,49,S2021A,object,GAMA,LeathaudGreene,Merian,207.79659997206454,2020B-0288,-0.8846281828680199,600.0,1
49,--,N70,512,50,S2021A,object,GAMA,LeathaudGreene,Merian,208.08895402357666,2020B-0288,-0.955731632210883,600.0,1
50,--,N70,512,51,S2021A,object,GAMA,LeathaudGreene,Merian,208.38378764173004,2020B-0288,-0.9970875933558754,600.0,1
51,--,N70,512,52,S2021A,object,GAMA,LeathaudGreene,Merian,208.67864459458082,2020B-0288,-1.0381727730739676,600.0,1
52,--,N70,512,53,S2021A,object,GAMA,LeathaudGreene,Merian,205.23291949828524,2020B-0288,0.6334436165766733,600.0,1
53,--,N70,512,54,S2021A,object,GAMA,LeathaudGreene,Merian,205.52414946813587,2020B-0288,0.5604554405089878,600.0,1
54,--,N70,512,55,S2021A,object,GAMA,LeathaudGreene,Merian,205.8182422935547,2020B-0288,0.5178576737992883,600.0,1
55,--,N70,512,56,S2021A,object,GAMA,LeathaudGreene,Merian,206.11234600576233,2020B-0288,0.4755104542244834,600.0,1
56,--,N70,512,57,S2021A,object,GAMA,LeathaudGreene,Merian,206.09644738405714,2020B-0288,-0.898072496537179,600.0,1
57,--,N70,512,58,S2021A,object,GAMA,LeathaudGreene,Merian,206.38877746425493,2020B-0288,-0.970441719130864,600.0,1
58,--,N70,512,59,S2021A,object,GAMA,LeathaudGreene,Merian,206.68359719955927,2020B-0288,-1.0126301615008693,600.0,1
59,--,N70,512,60,S2021A,object,GAMA,LeathaudGreene,Merian,206.97844004289215,2020B-0288,-1.0545609468215082,600.0,1
60,--,N70,512,61,S2021A,object,GAMA,LeathaudGreene,Merian,204.3812811525879,2020B-0288,-0.9108343353392784,600.0,1
61,--,N70,512,62,S2021A,object,GAMA,LeathaudGreene,Merian,204.67358480205002,2020B-0288,-0.9844159425094774,600.0,1
62,--,N70,512,63,S2021A,object,GAMA,LeathaudGreene,Merian,204.96838903449054,2020B-0288,-1.027406577668117,600.0,1
63,--,N70,512,64,S2021A,object,GAMA,LeathaudGreene,Merian,205.26321606380742,2020B-0288,-1.0701530260136232,600.0,1
64,--,N70,512,65,S2021A,object,GAMA,LeathaudGreene,Merian,202.6501014499753,2020B-0288,-0.9228877195792681,600.0,1
65,--,N70,512,66,S2021A,object,GAMA,LeathaudGreene,Merian,202.94237622869693,2020B-0288,-0.9976261676046966,600.0,1
66,--,N70,512,67,S2021A,object,GAMA,LeathaudGreene,Merian,203.2371633447676,2020B-0288,-1.0413874195233974,600.0,1
67,--,N70,512,68,S2021A,object,GAMA,LeathaudGreene,Merian,203.53197286077864,2020B-0288,-1.0849183024588072,600.0,1
68,--,N70,512,69,S2021A,object,GAMA,LeathaudGreene,Merian,179.0668579030634,2020B-0288,-0.9998674064120842,600.0,1
69,--,N70,512,70,S2021A,object,GAMA,LeathaudGreene,Merian,179.35858536641456,2020B-0288,-1.0832321354179888,600.0,1
70,--,N70,512,71,S2021A,object,GAMA,LeathaudGreene,Merian,179.65303212981965,2020B-0288,-1.1332792253582713,600.0,1
71,--,N70,512,72,S2021A,object,GAMA,LeathaudGreene,Merian,179.9474888017356,2020B-0288,-1.1832995031790141,600.0,1
72,--,N70,512,73,S2021A,object,GAMA,LeathaudGreene,Merian,179.0676489714745,2020B-0288,1.7831324811845823,600.0,1
73,--,N70,512,74,S2021A,object,GAMA,LeathaudGreene,Merian,179.35917440121986,2020B-0288,1.6997678022601033,600.0,1
74,--,N70,512,75,S2021A,object,GAMA,LeathaudGreene,Merian,179.65336546440844,2020B-0288,1.649720754683439,600.0,1
75,--,N70,512,76,S2021A,object,GAMA,LeathaudGreene,Merian,179.94754147403899,2020B-0288,1.5997004963226404,600.0,1
