object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J132337.89-005603.00_N708,--,N708,704,1,S2021A,object,GAMA_J132337.89-005603.00_N708,LeathaudGreene,Merian,200.9079091770383,2020B-0288,-0.9341673003826922,600.0,1,False
GAMA_J132448.03-010036.00_N708,--,N708,704,2,S2021A,object,GAMA_J132448.03-010036.00_N708,LeathaudGreene,Merian,201.20015278319732,2020B-0288,-1.010001067210249,600.0,1,False
GAMA_J132558.78-010316.19_N708,--,N708,704,3,S2021A,object,GAMA_J132558.78-010316.19_N708,LeathaudGreene,Merian,201.49492124735573,2020B-0288,-1.0544975059361692,600.0,1,False
GAMA_J132709.53-010555.59_N708,--,N708,704,4,S2021A,object,GAMA_J132709.53-010555.59_N708,LeathaudGreene,Merian,201.7897116293938,2020B-0288,-1.0987776935310116,600.0,1,False
GAMA_J103622.10-005603.00_N708,--,N708,704,5,S2021A,object,GAMA_J103622.10-005603.00_N708,LeathaudGreene,Merian,159.0920908229617,2020B-0288,-0.934167300382692,600.0,1,False
GAMA_J103731.99-010050.17_N708,--,N708,704,6,S2021A,object,GAMA_J103731.99-010050.17_N708,LeathaudGreene,Merian,159.38332494501654,2020B-0288,-1.013937303265495,600.0,1,False
GAMA_J103842.58-010345.97_N708,--,N708,704,7,S2021A,object,GAMA_J103842.58-010345.97_N708,LeathaudGreene,Merian,159.6774496701191,2020B-0288,-1.06277141652948,600.0,1,False
GAMA_J103953.17-010642.32_N708,--,N708,704,8,S2021A,object,GAMA_J103953.17-010642.32_N708,LeathaudGreene,Merian,159.97156827460262,2020B-0288,-1.111755851028991,600.0,1,False
GAMA_J145324.45+005348.94_N708,--,N708,704,9,S2021A,object,GAMA_J145324.45+005348.94_N708,LeathaudGreene,Merian,223.351893073841,2020B-0288,0.8969304900540933,600.0,1,False
GAMA_J145434.22+005024.55_N708,--,N708,704,10,S2021A,object,GAMA_J145434.22+005024.55_N708,LeathaudGreene,Merian,223.64261739724066,2020B-0288,0.8401543214023278,600.0,1,False
GAMA_J145544.73+004828.80_N708,--,N708,704,11,S2021A,object,GAMA_J145544.73+004828.80_N708,LeathaudGreene,Merian,223.93640553404848,2020B-0288,0.8080006536387212,600.0,1,False
GAMA_J145655.24+004634.40_N708,--,N708,704,12,S2021A,object,GAMA_J145655.24+004634.40_N708,LeathaudGreene,Merian,224.23020536695452,2020B-0288,0.7762246054027775,600.0,1,False
GAMA_J145638.24-004302.78_N708,--,N708,704,13,S2021A,object,GAMA_J145638.24-004302.78_N708,LeathaudGreene,Merian,224.1593616564084,2020B-0288,-0.7174402622984496,600.0,1,False
GAMA_J145748.43-004624.05_N708,--,N708,704,14,S2021A,object,GAMA_J145748.43-004624.05_N708,LeathaudGreene,Merian,224.4518198882374,2020B-0288,-0.7733476240518543,600.0,1,False
GAMA_J145859.20-004817.82_N708,--,N708,704,15,S2021A,object,GAMA_J145859.20-004817.82_N708,LeathaudGreene,Merian,224.74670425800238,2020B-0288,-0.804951001862771,600.0,1,False
