,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
0,--,N708,384,1,TEST,science,GAMA,LeathaudGreene,Merian,224.1593616564084,2020B-XXXX,-0.7174402622984496,600.0,1
1,--,N708,384,2,TEST,science,GAMA,LeathaudGreene,Merian,224.4518198882374,2020B-XXXX,-0.7733476240518543,600.0,1
2,--,N708,384,3,TEST,science,GAMA,LeathaudGreene,Merian,224.74670425800238,2020B-XXXX,-0.804951001862771,600.0,1
3,--,N708,384,4,TEST,science,GAMA,LeathaudGreene,Merian,225.0416099490183,2020B-XXXX,-0.8361711082608198,600.0,1
4,--,N708,384,5,TEST,science,GAMA,LeathaudGreene,Merian,222.56234772929633,2020B-XXXX,-0.736575957983442,600.0,1
5,--,N708,384,6,TEST,science,GAMA,LeathaudGreene,Merian,222.85480645020414,2020B-XXXX,-0.7941889153016704,600.0,1
6,--,N708,384,7,TEST,science,GAMA,LeathaudGreene,Merian,223.1496927608464,2020B-XXXX,-0.8268714340004539,600.0,1
7,--,N708,384,8,TEST,science,GAMA,LeathaudGreene,Merian,223.4446009159531,2020B-XXXX,-0.8591804186813508,600.0,1
8,--,N708,384,9,TEST,science,GAMA,LeathaudGreene,Merian,220.9593201659843,2020B-XXXX,-0.7552081406383655,600.0,1
9,--,N708,384,10,TEST,science,GAMA,LeathaudGreene,Merian,221.25177700726866,2020B-XXXX,-0.814488105145814,600.0,1
10,--,N708,384,11,TEST,science,GAMA,LeathaudGreene,Merian,221.54666374667494,2020B-XXXX,-0.8482282959289049,600.0,1
11,--,N708,384,12,TEST,science,GAMA,LeathaudGreene,Merian,221.84157278748478,2020B-XXXX,-0.8816050196827646,600.0,1
12,--,N708,384,13,TEST,science,GAMA,LeathaudGreene,Merian,219.3492788704671,2020B-XXXX,-0.7733267327496112,600.0,1
13,--,N708,384,14,TEST,science,GAMA,LeathaudGreene,Merian,219.6417314392292,2020B-XXXX,-0.8342342925631145,600.0,1
14,--,N708,384,15,TEST,science,GAMA,LeathaudGreene,Merian,219.9366170756427,2020B-XXXX,-0.8690102009992243,600.0,1
15,--,N708,384,16,TEST,science,GAMA,LeathaudGreene,Merian,220.23152540213135,2020B-XXXX,-0.9034330408419875,600.0,1
16,--,N708,384,17,TEST,science,GAMA,LeathaudGreene,Merian,217.73022371949276,2020B-XXXX,-0.7909309137015527,600.0,1
17,--,N708,384,18,TEST,science,GAMA,LeathaudGreene,Merian,218.02266959544954,2020B-XXXX,-0.853426683143451,600.0,1
