,object,comment,filter,seqtot,seqnum,seqid,expType,object.1,proposer,program,RA,propid,dec,expTime,count,wait
0,GAMA_J132337.89-005603.00_N536,--,N536,512,1,S2021A,object,GAMA_J132337.89-005603.00_N708,Leauthaud,Merian,200.9079091770383,2020B-0288,-0.9341673003826922,900,1,False
1,GAMA_J132448.03-010036.00_N536,--,N536,512,2,S2021A,object,GAMA_J132448.03-010036.00_N708,Leauthaud,Merian,201.20015278319732,2020B-0288,-1.010001067210249,900,1,False
2,GAMA_J132558.78-010316.19_N536,--,N536,512,3,S2021A,object,GAMA_J132558.78-010316.19_N708,Leauthaud,Merian,201.49492124735573,2020B-0288,-1.0544975059361692,900,1,False
3,GAMA_J132709.53-010555.59_N536,--,N536,512,4,S2021A,object,GAMA_J132709.53-010555.59_N708,Leauthaud,Merian,201.7897116293938,2020B-0288,-1.0987776935310116,900,1,False
4,GAMA_J145638.24-004302.78_N536,--,N536,512,5,S2021A,object,GAMA_J145638.24-004302.78_N708,Leauthaud,Merian,224.15936165640844,2020B-0288,-0.7174402622984496,900,1,False
5,GAMA_J145748.43-004624.05_N536,--,N536,512,6,S2021A,object,GAMA_J145748.43-004624.05_N708,Leauthaud,Merian,224.45181988823742,2020B-0288,-0.7733476240518543,900,1,False
6,GAMA_J145859.20-004817.82_N536,--,N536,512,7,S2021A,object,GAMA_J145859.20-004817.82_N708,Leauthaud,Merian,224.74670425800238,2020B-0288,-0.804951001862771,900,1,False
7,GAMA_J150009.98-005010.21_N536,--,N536,512,8,S2021A,object,GAMA_J150009.98-005010.21_N708,Leauthaud,Merian,225.04160994901832,2020B-0288,-0.8361711082608198,900,1,False
8,GAMA_J145014.96-004411.67_N536,--,N536,512,9,S2021A,object,GAMA_J145014.96-004411.67_N708,Leauthaud,Merian,222.56234772929642,2020B-0288,-0.736575957983442,900,1,False
9,GAMA_J145125.15-004739.08_N536,--,N536,512,10,S2021A,object,GAMA_J145125.15-004739.08_N708,Leauthaud,Merian,222.85480645020414,2020B-0288,-0.7941889153016704,900,1,False
10,GAMA_J145235.92-004936.73_N536,--,N536,512,11,S2021A,object,GAMA_J145235.92-004936.73_N708,Leauthaud,Merian,223.1496927608464,2020B-0288,-0.8268714340004539,900,1,False
11,GAMA_J145346.70-005133.04_N536,--,N536,512,12,S2021A,object,GAMA_J145346.70-005133.04_N708,Leauthaud,Merian,223.4446009159531,2020B-0288,-0.8591804186813508,900,1,False
