object,comment,filter,seqtot,seqnum,seqid,expType,object.1,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J132337.89-005603.00_N540,--,N540,512,1,S2021A,object,GAMA_J132337.89-005603.00_N708,Leauthaud,Merian,200.9079091770380,2020B-0288,-0.9341673003826920,900,1,FALSE
GAMA_J132448.03-010036.00_N540,--,N540,512,2,S2021A,object,GAMA_J132448.03-010036.00_N708,Leauthaud,Merian,201.20015278319700,2020B-0288,-1.010001067210250,900,1,FALSE
GAMA_J132558.78-010316.19_N540,--,N540,512,3,S2021A,object,GAMA_J132558.78-010316.19_N708,Leauthaud,Merian,201.49492124735600,2020B-0288,-1.0544975059361700,900,1,FALSE
GAMA_J132709.53-010555.59_N540,--,N540,512,4,S2021A,object,GAMA_J132709.53-010555.59_N708,Leauthaud,Merian,201.7897116293940,2020B-0288,-1.0987776935310100,900,1,FALSE
GAMA_J145638.24-004302.78_N540,--,N540,512,5,S2021A,object,GAMA_J145638.24-004302.78_N708,Leauthaud,Merian,224.15936165640800,2020B-0288,-0.7174402622984500,900,1,FALSE
GAMA_J145748.43-004624.05_N540,--,N540,512,6,S2021A,object,GAMA_J145748.43-004624.05_N708,Leauthaud,Merian,224.45181988823700,2020B-0288,-0.7733476240518540,900,1,FALSE
GAMA_J145859.20-004817.82_N540,--,N540,512,7,S2021A,object,GAMA_J145859.20-004817.82_N708,Leauthaud,Merian,224.74670425800200,2020B-0288,-0.804951001862771,900,1,FALSE
GAMA_J150009.98-005010.21_N540,--,N540,512,8,S2021A,object,GAMA_J150009.98-005010.21_N708,Leauthaud,Merian,225.04160994901800,2020B-0288,-0.8361711082608200,900,1,FALSE
GAMA_J145014.96-004411.67_N540,--,N540,512,9,S2021A,object,GAMA_J145014.96-004411.67_N708,Leauthaud,Merian,222.56234772929600,2020B-0288,-0.736575957983442,900,1,FALSE
GAMA_J145125.15-004739.08_N540,--,N540,512,10,S2021A,object,GAMA_J145125.15-004739.08_N708,Leauthaud,Merian,222.85480645020400,2020B-0288,-0.7941889153016700,900,1,FALSE
GAMA_J145235.92-004936.73_N540,--,N540,512,11,S2021A,object,GAMA_J145235.92-004936.73_N708,Leauthaud,Merian,223.1496927608460,2020B-0288,-0.8268714340004540,900,1,FALSE
GAMA_J145346.70-005133.04_N540,--,N540,512,12,S2021A,object,GAMA_J145346.70-005133.04_N708,Leauthaud,Merian,223.4446009159530,2020B-0288,-0.8591804186813510,900,1,FALSE
GAMA_J144350.23-004518.74_N540,--,N540,512,13,S2021A,object,GAMA_J144350.23-004518.74_N708,Leauthaud,Merian,220.9593201659840,2020B-0288,-0.7552081406383660,900,1,FALSE
GAMA_J144500.42-004852.15_N540,--,N540,512,14,S2021A,object,GAMA_J144500.42-004852.15_N708,Leauthaud,Merian,221.25177700726900,2020B-0288,-0.8144881051458140,900,1,FALSE
GAMA_J144611.19-005053.62_N540,--,N540,512,15,S2021A,object,GAMA_J144611.19-005053.62_N708,Leauthaud,Merian,221.5466637466750,2020B-0288,-0.8482282959289050,900,1,FALSE
GAMA_J144721.97-005253.77_N540,--,N540,512,16,S2021A,object,GAMA_J144721.97-005253.77_N708,Leauthaud,Merian,221.8415727874850,2020B-0288,-0.8816050196827650,900,1,FALSE
GAMA_J143723.82-004623.97_N540,--,N540,512,17,S2021A,object,GAMA_J143723.82-004623.97_N708,Leauthaud,Merian,219.34927887046700,2020B-0288,-0.7733267327496110,900,1,FALSE
GAMA_J143834.01-005003.24_N540,--,N540,512,18,S2021A,object,GAMA_J143834.01-005003.24_N708,Leauthaud,Merian,219.6417314392290,2020B-0288,-0.8342342925631150,900,1,FALSE
GAMA_J143944.78-005208.43_N540,--,N540,512,19,S2021A,object,GAMA_J143944.78-005208.43_N708,Leauthaud,Merian,219.9366170756430,2020B-0288,-0.8690102009992240,900,1,FALSE
GAMA_J144055.56-005412.35_N540,--,N540,512,20,S2021A,object,GAMA_J144055.56-005412.35_N708,Leauthaud,Merian,220.2315254021310,2020B-0288,-0.9034330408419880,900,1,FALSE
GAMA_J143055.25-004727.35_N540,--,N540,512,21,S2021A,object,GAMA_J143055.25-004727.35_N708,Leauthaud,Merian,217.73022371949300,2020B-0288,-0.7909309137015530,900,1,FALSE
GAMA_J143205.44-005112.33_N540,--,N540,512,22,S2021A,object,GAMA_J143205.44-005112.33_N708,Leauthaud,Merian,218.0226695954500,2020B-0288,-0.8534266831434510,900,1,FALSE
GAMA_J143316.21-005321.17_N540,--,N540,512,23,S2021A,object,GAMA_J143316.21-005321.17_N708,Leauthaud,Merian,218.31755257630000,2020B-0288,-0.8892164183621420,900,1,FALSE
GAMA_J143426.99-005528.78_N540,--,N540,512,24,S2021A,object,GAMA_J143426.99-005528.78_N708,Leauthaud,Merian,218.61245856581800,2020B-0288,-0.9246638237271600,900,1,FALSE
GAMA_J142424.75-004828.74_N540,--,N540,512,25,S2021A,object,GAMA_J142424.75-004828.74_N708,Leauthaud,Merian,216.10315470929600,2020B-0288,-0.8079859259939990,900,1,FALSE
GAMA_J142534.94-005219.29_N540,--,N540,512,26,S2021A,object,GAMA_J142534.94-005219.29_N708,Leauthaud,Merian,216.39559145993700,2020B-0288,-0.8720274940841290,900,1,FALSE
GAMA_J142645.71-005431.70_N540,--,N540,512,27,S2021A,object,GAMA_J142645.71-005431.70_N708,Leauthaud,Merian,216.6904702183810,2020B-0288,-0.9088072856119920,900,1,FALSE
GAMA_J142756.48-005642.92_N540,--,N540,512,28,S2021A,object,GAMA_J142756.48-005642.92_N708,Leauthaud,Merian,216.98537223163700,2020B-0288,-0.9452558154329620,900,1,FALSE
GAMA_J141751.61-004928.19_N540,--,N540,512,29,S2021A,object,GAMA_J141751.61-004928.19_N708,Leauthaud,Merian,214.46507169880100,2020B-0288,-0.8244981343288890,900,1,FALSE
GAMA_J141901.79-005324.15_N540,--,N540,512,30,S2021A,object,GAMA_J141901.79-005324.15_N708,Leauthaud,Merian,214.7574968623340,2020B-0288,-0.8900437958222350,900,1,FALSE
GAMA_J142012.56-005540.04_N540,--,N540,512,31,S2021A,object,GAMA_J142012.56-005540.04_N708,Leauthaud,Merian,215.05236981017400,2020B-0288,-0.9277903850665210,900,1,FALSE
GAMA_J142123.34-005754.78_N540,--,N540,512,32,S2021A,object,GAMA_J142123.34-005754.78_N708,Leauthaud,Merian,215.34726618486500,2020B-0288,-0.965217126308212,900,1,FALSE
GAMA_J141116.07-005025.55_N540,--,N540,512,33,S2021A,object,GAMA_J141116.07-005025.55_N708,Leauthaud,Merian,212.81697475133200,2020B-0288,-0.8404311412134570,900,1,FALSE
GAMA_J141226.25-005426.76_N540,--,N540,512,34,S2021A,object,GAMA_J141226.25-005426.76_N708,Leauthaud,Merian,213.10938586491400,2020B-0288,-0.9074360245003910,900,1,FALSE
GAMA_J141337.02-005646.04_N540,--,N540,512,35,S2021A,object,GAMA_J141337.02-005646.04_N708,Leauthaud,Merian,213.40425140654400,2020B-0288,-0.9461241864713090,900,1,FALSE
GAMA_J141447.79-005904.21_N540,--,N540,512,36,S2021A,object,GAMA_J141447.79-005904.21_N708,Leauthaud,Merian,213.69914047082100,2020B-0288,-0.9845042484429600,900,1,FALSE
GAMA_J140437.64-005120.79_N540,--,N540,512,37,S2021A,object,GAMA_J140437.64-005120.79_N708,Leauthaud,Merian,211.15686380377000,2020B-0288,-0.8557772835558600,900,1,FALSE
GAMA_J140547.82-005527.10_N540,--,N540,512,38,S2021A,object,GAMA_J140547.82-005527.10_N708,Leauthaud,Merian,211.4492583864220,2020B-0288,-0.924195979171048,900,1,FALSE
GAMA_J140658.58-005749.68_N540,--,N540,512,39,S2021A,object,GAMA_J140658.58-005749.68_N708,Leauthaud,Merian,211.74411491065600,2020B-0288,-0.9638002171475300,900,1,FALSE
GAMA_J140809.35-010011.19_N540,--,N540,512,40,S2021A,object,GAMA_J140809.35-010011.19_N708,Leauthaud,Merian,212.0389949753260,2020B-0288,-1.0031084470623000,900,1,FALSE
