object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
VVDS_J223622.10+005603.00_N70,--,N70,128,1,S2021B,object,VVDS_J223622.10+005603.00_N70,LeathaudGreene,Merian,339.0920908229617,2020B-0288,0.9341673003826922,600.0,1,False
VVDS_J223731.99+010050.17_N70,--,N70,128,2,S2021B,object,VVDS_J223731.99+010050.17_N70,LeathaudGreene,Merian,339.38332494501657,2020B-0288,1.013937303265495,600.0,1,False
VVDS_J223842.58+010345.97_N70,--,N70,128,3,S2021B,object,VVDS_J223842.58+010345.97_N70,LeathaudGreene,Merian,339.67744967011913,2020B-0288,1.06277141652948,600.0,1,False
VVDS_J223953.17+010642.32_N70,--,N70,128,4,S2021B,object,VVDS_J223953.17+010642.32_N70,LeathaudGreene,Merian,339.97156827460265,2020B-0288,1.1117558510289913,600.0,1,False
VVDS_J235616.04+005959.52_N70,--,N70,128,5,S2021B,object,VVDS_J235616.04+005959.52_N70,LeathaudGreene,Merian,359.0668579030634,2020B-0288,0.9998674064120842,600.0,1,False
VVDS_J235726.06+010459.63_N70,--,N70,128,6,S2021B,object,VVDS_J235726.06+010459.63_N70,LeathaudGreene,Merian,359.3585853664145,2020B-0288,1.0832321354179888,600.0,1,False
VVDS_J235836.72+010759.80_N70,--,N70,128,7,S2021B,object,VVDS_J235836.72+010759.80_N70,LeathaudGreene,Merian,359.6530321298196,2020B-0288,1.1332792253582713,600.0,1,False
VVDS_J235947.39+011059.87_N70,--,N70,128,8,S2021B,object,VVDS_J235947.39+011059.87_N70,LeathaudGreene,Merian,359.9474888017356,2020B-0288,1.1832995031790141,600.0,1,False
VVDS_J234848.61+005955.71_N70,--,N70,128,9,S2021B,object,VVDS_J234848.61+005955.71_N70,LeathaudGreene,Merian,357.202574615187,2020B-0288,0.9988085729774403,600.0,1,False
VVDS_J234958.62+010456.15_N70,--,N70,128,10,S2021B,object,VVDS_J234958.62+010456.15_N70,LeathaudGreene,Merian,357.49425270627637,2020B-0288,1.0822644395783312,600.0,1,False
VVDS_J235109.28+010756.84_N70,--,N70,128,11,S2021B,object,VVDS_J235109.28+010756.84_N70,LeathaudGreene,Merian,357.7886678613611,2020B-0288,1.1324562563479983,600.0,1,False
VVDS_J235219.94+011057.49_N70,--,N70,128,12,S2021B,object,VVDS_J235219.94+011057.49_N70,LeathaudGreene,Merian,358.08309151474134,2020B-0288,1.1826379992851535,600.0,1,False
VVDS_J234122.15+005948.11_N70,--,N70,128,13,S2021B,object,VVDS_J234122.15+005948.11_N70,LeathaudGreene,Merian,355.34229372925034,2020B-0288,0.9966982666977068,600.0,1,False
VVDS_J234232.14+010448.56_N70,--,N70,128,14,S2021B,object,VVDS_J234232.14+010448.56_N70,LeathaudGreene,Merian,355.6339226463957,2020B-0288,1.0801570091793653,600.0,1,False
VVDS_J234342.79+010749.58_N70,--,N70,128,15,S2021B,object,VVDS_J234342.79+010749.58_N70,LeathaudGreene,Merian,355.9283061969916,2020B-0288,1.1304402753562346,600.0,1,False
VVDS_J234453.44+011050.62_N70,--,N70,128,16,S2021B,object,VVDS_J234453.44+011050.62_N70,LeathaudGreene,Merian,356.2226968028273,2020B-0288,1.180730178863344,600.0,1,False
VVDS_J233357.12+005936.77_N70,--,N70,128,17,S2021B,object,VVDS_J233357.12+005936.77_N70,LeathaudGreene,Merian,353.4880167106016,2020B-0288,0.993549455236788,600.0,1,False
