object.1,object,comment,filter,seqtot,seqnum,seqid,expType,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J023055.25+374348.80_N540,XMM_J023055.25+374348.80_N540,--,N540,104,1,S2021B,object,LeathaudGreene,Merian,37.73022371949276,2020B-0288,0.7909309137015527,900.0,1,False
XMM_J023205.44+380121.61_N540,XMM_J023205.44+380121.61_N540,--,N540,104,2,S2021B,object,LeathaudGreene,Merian,38.022669595449564,2020B-0288,0.8534266831434509,900.0,1,False
XMM_J023316.21+381903.18_N540,XMM_J023316.21+381903.18_N540,--,N540,104,3,S2021B,object,LeathaudGreene,Merian,38.31755257630014,2020B-0288,0.8892164183621415,900.0,1,False
XMM_J023426.99+383644.85_N540,XMM_J023426.99+383644.85_N540,--,N540,104,4,S2021B,object,LeathaudGreene,Merian,38.61245856581797,2020B-0288,0.9246638237271604,900.0,1,False
XMM_J022424.75+360611.35_N540,XMM_J022424.75+360611.35_N540,--,N540,104,5,S2021B,object,LeathaudGreene,Merian,36.10315470929567,2020B-0288,0.8079859259939982,900.0,1,False
XMM_J022534.94+362344.12_N540,XMM_J022534.94+362344.12_N540,--,N540,104,6,S2021B,object,LeathaudGreene,Merian,36.39559145993685,2020B-0288,0.8720274940841278,900.0,1,False
XMM_J022645.71+364125.69_N540,XMM_J022645.71+364125.69_N540,--,N540,104,7,S2021B,object,LeathaudGreene,Merian,36.69047021838124,2020B-0288,0.9088072856119908,900.0,1,False
XMM_J022756.48+365907.34_N540,XMM_J022756.48+365907.34_N540,--,N540,104,8,S2021B,object,LeathaudGreene,Merian,36.98537223163668,2020B-0288,0.945255815432961,900.0,1,False
XMM_J022738.00+365430.14_N540,XMM_J022738.00+365430.14_N540,--,N540,104,9,S2021B,object,LeathaudGreene,Merian,36.908374002803995,2020B-0288,-0.8044619507958998,900.0,1,False
XMM_J022847.83+371157.45_N540,XMM_J022847.83+371157.45_N540,--,N540,104,10,S2021B,object,LeathaudGreene,Merian,37.1992917242714,2020B-0288,-0.7411782806456022,900.0,1,False
XMM_J022958.36+372935.50_N540,XMM_J022958.36+372935.50_N540,--,N540,104,11,S2021B,object,LeathaudGreene,Merian,37.49319676620024,2020B-0288,-0.7048835759845395,900.0,1,False
XMM_J023108.90+374713.61_N540,XMM_J023108.90+374713.61_N540,--,N540,104,12,S2021B,object,LeathaudGreene,Merian,37.787114044011076,2020B-0288,-0.6689250271297005,900.0,1,False
XMM_J023055.41+374351.17_N540,XMM_J023055.41+374351.17_N540,--,N540,104,13,S2021B,object,LeathaudGreene,Merian,37.73088145097615,2020B-0288,-2.421259504695769,900.0,1,False
XMM_J023204.85+380112.80_N540,XMM_J023204.85+380112.80_N540,--,N540,104,14,S2021B,object,LeathaudGreene,Merian,38.020224074182146,2020B-0288,-2.3587628720475484,900.0,1,False
XMM_J023315.14+381847.24_N540,XMM_J023315.14+381847.24_N540,--,N540,104,15,S2021B,object,LeathaudGreene,Merian,38.31312296849176,2020B-0288,-2.3229710144071105,900.0,1,False
XMM_J023425.44+383621.68_N540,XMM_J023425.44+383621.68_N540,--,N540,104,16,S2021B,object,LeathaudGreene,Merian,38.60602336645765,2020B-0288,-2.287520218536016,900.0,1,False
XMM_J023420.07+383501.11_N540,XMM_J023420.07+383501.11_N540,--,N540,104,17,S2021B,object,LeathaudGreene,Merian,38.583642970873186,2020B-0288,-4.0405569079460655,900.0,1,False
XMM_J023529.12+385216.86_N540,XMM_J023529.12+385216.86_N540,--,N540,104,18,S2021B,object,LeathaudGreene,Merian,38.87135181953675,2020B-0288,-3.978889832013458,900.0,1,False
XMM_J023639.17+390947.55_N540,XMM_J023639.17+390947.55_N540,--,N540,104,19,S2021B,object,LeathaudGreene,Merian,39.16321065915631,2020B-0288,-3.9436270651145535,900.0,1,False
