object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J023055.25+004727.35_N708,--,N708,104,1,S2021B,object,XMM_J023055.25+004727.35_N708,LeathaudGreene,Merian,37.73022371949276,2020B-0288,0.7909309137015527,600.0,1,False
XMM_J023205.44+005112.33_N708,--,N708,104,2,S2021B,object,XMM_J023205.44+005112.33_N708,LeathaudGreene,Merian,38.02266959544956,2020B-0288,0.853426683143451,600.0,1,False
XMM_J023316.21+005321.17_N708,--,N708,104,3,S2021B,object,XMM_J023316.21+005321.17_N708,LeathaudGreene,Merian,38.31755257630014,2020B-0288,0.8892164183621415,600.0,1,False
XMM_J023426.99+005528.78_N708,--,N708,104,4,S2021B,object,XMM_J023426.99+005528.78_N708,LeathaudGreene,Merian,38.61245856581797,2020B-0288,0.9246638237271604,600.0,1,False
XMM_J022424.75+004828.74_N708,--,N708,104,5,S2021B,object,XMM_J022424.75+004828.74_N708,LeathaudGreene,Merian,36.10315470929567,2020B-0288,0.8079859259939982,600.0,1,False
XMM_J022534.94+005219.29_N708,--,N708,104,6,S2021B,object,XMM_J022534.94+005219.29_N708,LeathaudGreene,Merian,36.395591459936846,2020B-0288,0.8720274940841278,600.0,1,False
XMM_J022645.71+005431.70_N708,--,N708,104,7,S2021B,object,XMM_J022645.71+005431.70_N708,LeathaudGreene,Merian,36.69047021838124,2020B-0288,0.9088072856119908,600.0,1,False
XMM_J022756.48+005642.92_N708,--,N708,104,8,S2021B,object,XMM_J022756.48+005642.92_N708,LeathaudGreene,Merian,36.98537223163668,2020B-0288,0.945255815432961,600.0,1,False
XMM_J022738.00-004816.06_N708,--,N708,104,9,S2021B,object,XMM_J022738.00-004816.06_N708,LeathaudGreene,Merian,36.908374002803995,2020B-0288,-0.8044619507958998,600.0,1,False
XMM_J022847.83-004428.24_N708,--,N708,104,10,S2021B,object,XMM_J022847.83-004428.24_N708,LeathaudGreene,Merian,37.1992917242714,2020B-0288,-0.7411782806456022,600.0,1,False
XMM_J022958.36-004217.58_N708,--,N708,104,11,S2021B,object,XMM_J022958.36-004217.58_N708,LeathaudGreene,Merian,37.493196766200235,2020B-0288,-0.7048835759845395,600.0,1,False
XMM_J023108.90-004008.13_N708,--,N708,104,12,S2021B,object,XMM_J023108.90-004008.13_N708,LeathaudGreene,Merian,37.78711404401108,2020B-0288,-0.6689250271297005,600.0,1,False
XMM_J023055.41-022516.53_N708,--,N708,104,13,S2021B,object,XMM_J023055.41-022516.53_N708,LeathaudGreene,Merian,37.73088145097615,2020B-0288,-2.4212595046957692,600.0,1,False
XMM_J023204.85-022131.54_N708,--,N708,104,14,S2021B,object,XMM_J023204.85-022131.54_N708,LeathaudGreene,Merian,38.02022407418215,2020B-0288,-2.3587628720475484,600.0,1,False
XMM_J023315.14-021922.69_N708,--,N708,104,15,S2021B,object,XMM_J023315.14-021922.69_N708,LeathaudGreene,Merian,38.31312296849176,2020B-0288,-2.3229710144071105,600.0,1,False
