object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
XMM_VVDS_J012337.89+005603.00_N708,--,N708,524,1,S2022B,object,XMM_VVDS_J012337.89+005603.00_N708,LeathaudGreene,Merian,20.907909177038306,2020B-0288,0.934167300382692,600.0,1,False
XMM_VVDS_J223622.10+005603.00_N708,--,N708,524,2,S2022B,object,XMM_VVDS_J223622.10+005603.00_N708,LeathaudGreene,Merian,-20.907909177038277,2020B-0288,0.9341673003826922,600.0,1,False
XMM_VVDS_J000000.00+022327.60_N708,--,N708,524,3,S2022B,object,XMM_VVDS_J000000.00+022327.60_N708,LeathaudGreene,Merian,0.0,2020B-0288,2.391,600.0,1,False
XMM_VVDS_J000344.14+034658.32_N708,--,N708,524,4,S2022B,object,XMM_VVDS_J000344.14+034658.32_N708,LeathaudGreene,Merian,0.933934508758373,2020B-0288,3.782867293817865,600.0,1,False
XMM_VVDS_J000727.85+022332.89_N708,--,N708,524,5,S2022B,object,XMM_VVDS_J000727.85+022332.89_N708,LeathaudGreene,Merian,1.8660758232680603,2020B-0288,2.3924700041582656,600.0,1,False
XMM_VVDS_J001112.19+034719.70_N708,--,N708,524,6,S2022B,object,XMM_VVDS_J001112.19+034719.70_N708,LeathaudGreene,Merian,2.800807069126427,2020B-0288,3.7888067066037907,600.0,1,False
XMM_VVDS_J001455.23+022341.57_N708,--,N708,524,7,S2022B,object,XMM_VVDS_J001455.23+022341.57_N708,LeathaudGreene,Merian,3.7301529991900098,2020B-0288,2.39488284820146,600.0,1,False
XMM_VVDS_J001839.52+034755.28_N708,--,N708,524,8,S2022B,object,XMM_VVDS_J001839.52+034755.28_N708,LeathaudGreene,Merian,4.664687386552626,2020B-0288,3.7986911917229658,600.0,1,False
XMM_VVDS_J002221.17+022400.90_N708,--,N708,524,9,S2022B,object,XMM_VVDS_J002221.17+022400.90_N708,LeathaudGreene,Merian,5.588233993972055,2020B-0288,2.4002504058235106,600.0,1,False
XMM_VVDS_J002604.93+034848.73_N708,--,N708,524,10,S2022B,object,XMM_VVDS_J002604.93+034848.73_N708,LeathaudGreene,Merian,6.520578040294756,2020B-0288,3.8135379778857637,600.0,1,False
XMM_VVDS_J002945.43+022423.71_N708,--,N708,524,11,S2022B,object,XMM_VVDS_J002945.43+022423.71_N708,LeathaudGreene,Merian,7.43931844604239,2020B-0288,2.4065878457721643,600.0,1,False
XMM_VVDS_J003328.43+034952.90_N708,--,N708,524,12,S2022B,object,XMM_VVDS_J003328.43+034952.90_N708,LeathaudGreene,Merian,8.368481150735432,2020B-0288,3.831363847716012,600.0,1,False
XMM_VVDS_J003707.29+022450.10_N708,--,N708,524,13,S2022B,object,XMM_VVDS_J003707.29+022450.10_N708,LeathaudGreene,Merian,9.280405981315667,2020B-0288,2.4139191830669517,600.0,1,False
XMM_VVDS_J004049.29+035107.90_N708,--,N708,524,14,S2022B,object,XMM_VVDS_J004049.29+035107.90_N708,LeathaudGreene,Merian,10.205397480403526,2020B-0288,3.852195781245376,600.0,1,False
XMM_VVDS_J004426.51+022516.56_N708,--,N708,524,15,S2022B,object,XMM_VVDS_J004426.51+022516.56_N708,LeathaudGreene,Merian,11.110494011836858,2020B-0288,2.421269231181737,600.0,1,False
XMM_VVDS_J004807.27+035223.01_N708,--,N708,524,16,S2022B,object,XMM_VVDS_J004807.27+035223.01_N708,LeathaudGreene,Merian,12.03031877764954,2020B-0288,3.8730609286923765,600.0,1,False
XMM_VVDS_J005142.38+022546.82_N708,--,N708,524,17,S2022B,object,XMM_VVDS_J005142.38+022546.82_N708,LeathaudGreene,Merian,12.926584459914086,2020B-0288,2.4296735478482767,600.0,1,False
XMM_VVDS_J005521.89+035341.97_N708,--,N708,524,18,S2022B,object,XMM_VVDS_J005521.89+035341.97_N708,LeathaudGreene,Merian,13.841245992009284,2020B-0288,3.8949934637781385,600.0,1,False
XMM_VVDS_J005854.87+022610.18_N708,--,N708,524,19,S2022B,object,XMM_VVDS_J005854.87+022610.18_N708,LeathaudGreene,Merian,14.728665380650236,2020B-0288,2.4361614870088575,600.0,1,False
XMM_VVDS_J010233.16+035457.68_N708,--,N708,524,20,S2022B,object,XMM_VVDS_J010233.16+035457.68_N708,LeathaudGreene,Merian,15.638170100348024,2020B-0288,3.9160230128619413,600.0,1,False
XMM_VVDS_J010603.77+022633.96_N708,--,N708,524,21,S2022B,object,XMM_VVDS_J010603.77+022633.96_N708,LeathaudGreene,Merian,16.51574279477563,2020B-0288,2.4427677972419537,600.0,1,False
XMM_VVDS_J010940.58+035610.28_N708,--,N708,524,22,S2022B,object,XMM_VVDS_J010940.58+035610.28_N708,LeathaudGreene,Merian,17.41908640546342,2020B-0288,3.936190076239938,600.0,1,False
XMM_VVDS_J013044.78+035752.96_N708,--,N708,524,23,S2022B,object,XMM_VVDS_J013044.78+035752.96_N708,LeathaudGreene,Merian,22.686601467405026,2020B-0288,3.9647112260308184,600.0,1,False
XMM_VVDS_J011309.07+022651.08_N708,--,N708,524,24,S2022B,object,XMM_VVDS_J011309.07+022651.08_N708,LeathaudGreene,Merian,18.28780563938731,2020B-0288,2.447524245137013,600.0,1,False
XMM_VVDS_J011644.87+035705.43_N708,--,N708,524,25,S2022B,object,XMM_VVDS_J011644.87+035705.43_N708,LeathaudGreene,Merian,19.18697227637928,2020B-0288,3.951510990587623,600.0,1,False
XMM_VVDS_J012346.27+035732.43_N708,--,N708,524,26,S2022B,object,XMM_VVDS_J012346.27+035732.43_N708,LeathaudGreene,Merian,20.942801352535426,2020B-0288,3.9590087508631906,600.0,1,False
XMM_VVDS_J012710.52+022640.45_N708,--,N708,524,27,S2022B,object,XMM_VVDS_J012710.52+022640.45_N708,LeathaudGreene,Merian,21.793833788732467,2020B-0288,2.4445706161035354,600.0,1,False
XMM_VVDS_J012011.00+022650.84_N708,--,N708,524,28,S2022B,object,XMM_VVDS_J012011.00+022650.84_N708,LeathaudGreene,Merian,20.045833403129794,2020B-0288,2.4474569202330048,600.0,1,False
XMM_VVDS_J235616.04+005959.52_N708,--,N708,524,29,S2022B,object,XMM_VVDS_J235616.04+005959.52_N708,LeathaudGreene,Merian,-0.9331420969365922,2020B-0288,0.9998674064120842,600.0,1,False
XMM_VVDS_J235615.85+034658.32_N708,--,N708,524,30,S2022B,object,XMM_VVDS_J235615.85+034658.32_N708,LeathaudGreene,Merian,-0.9339345087583979,2020B-0288,3.782867293817865,600.0,1,False
XMM_VVDS_J235232.14+022332.89_N708,--,N708,524,31,S2022B,object,XMM_VVDS_J235232.14+022332.89_N708,LeathaudGreene,Merian,-1.8660758232680905,2020B-0288,2.3924700041582656,600.0,1,False
XMM_VVDS_J234848.61+005955.71_N708,--,N708,524,32,S2022B,object,XMM_VVDS_J234848.61+005955.71_N708,LeathaudGreene,Merian,-2.797425384812982,2020B-0288,0.9988085729774403,600.0,1,False
XMM_VVDS_J234847.80+034719.70_N708,--,N708,524,33,S2022B,object,XMM_VVDS_J234847.80+034719.70_N708,LeathaudGreene,Merian,-2.8008070691264493,2020B-0288,3.7888067066037907,600.0,1,False
XMM_VVDS_J234504.76+022341.57_N708,--,N708,524,34,S2022B,object,XMM_VVDS_J234504.76+022341.57_N708,LeathaudGreene,Merian,-3.730152999190068,2020B-0288,2.39488284820146,600.0,1,False
XMM_VVDS_J234122.15+005948.11_N708,--,N708,524,35,S2022B,object,XMM_VVDS_J234122.15+005948.11_N708,LeathaudGreene,Merian,-4.657706270749657,2020B-0288,0.9966982666977068,600.0,1,False
XMM_VVDS_J234120.47+034755.28_N708,--,N708,524,36,S2022B,object,XMM_VVDS_J234120.47+034755.28_N708,LeathaudGreene,Merian,-4.664687386552657,2020B-0288,3.7986911917229658,600.0,1,False
XMM_VVDS_J233738.82+022400.90_N708,--,N708,524,37,S2022B,object,XMM_VVDS_J233738.82+022400.90_N708,LeathaudGreene,Merian,-5.588233993972096,2020B-0288,2.400250405823511,600.0,1,False
XMM_VVDS_J233357.12+005936.77_N708,--,N708,524,38,S2022B,object,XMM_VVDS_J233357.12+005936.77_N708,LeathaudGreene,Merian,-6.511983289398415,2020B-0288,0.993549455236788,600.0,1,False
XMM_VVDS_J233355.06+034848.73_N708,--,N708,524,39,S2022B,object,XMM_VVDS_J233355.06+034848.73_N708,LeathaudGreene,Merian,-6.520578040294765,2020B-0288,3.8135379778857637,600.0,1,False
XMM_VVDS_J233014.56+022423.71_N708,--,N708,524,40,S2022B,object,XMM_VVDS_J233014.56+022423.71_N708,LeathaudGreene,Merian,-7.439318446042307,2020B-0288,2.406587845772165,600.0,1,False
XMM_VVDS_J232634.25+005921.77_N708,--,N708,524,41,S2022B,object,XMM_VVDS_J232634.25+005921.77_N708,LeathaudGreene,Merian,-8.357254877320486,2020B-0288,0.9893831640188592,600.0,1,False
XMM_VVDS_J232631.56+034952.90_N708,--,N708,524,42,S2022B,object,XMM_VVDS_J232631.56+034952.90_N708,LeathaudGreene,Merian,-8.36848115073542,2020B-0288,3.831363847716012,600.0,1,False
XMM_VVDS_J232252.70+022450.10_N708,--,N708,524,43,S2022B,object,XMM_VVDS_J232252.70+022450.10_N708,LeathaudGreene,Merian,-9.280405981315653,2020B-0288,2.4139191830669517,600.0,1,False
XMM_VVDS_J231914.03+005903.20_N708,--,N708,524,44,S2022B,object,XMM_VVDS_J231914.03+005903.20_N708,LeathaudGreene,Merian,-10.191519690461632,2020B-0288,0.9842249359808428,600.0,1,False
XMM_VVDS_J231910.70+035107.90_N708,--,N708,524,45,S2022B,object,XMM_VVDS_J231910.70+035107.90_N708,LeathaudGreene,Merian,-10.20539748040352,2020B-0288,3.852195781245376,600.0,1,False
